		Lht1	Lfk1
14/03/2022	02:31:24	0	0
14/03/2022	02:31:37	0	0
14/03/2022	02:31:50	0	0
14/03/2022	02:32:03	0	0
14/03/2022	02:32:16	0	0
14/03/2022	02:32:29	0	0
14/03/2022	02:32:42	0	0
14/03/2022	02:32:55	0	0
14/03/2022	02:33:08	0	0
14/03/2022	02:33:21	0	0
14/03/2022	02:33:34	0	0
14/03/2022	02:33:47	0	0
14/03/2022	02:34:00	0	0
14/03/2022	02:34:13	0	0
14/03/2022	02:34:26	0	0
14/03/2022	02:34:39	0	0
14/03/2022	02:34:52	0	0
14/03/2022	02:35:05	0	0
14/03/2022	02:35:18	0	0
14/03/2022	02:35:31	0	0
14/03/2022	02:35:44	0	0
14/03/2022	02:35:57	0	0
14/03/2022	02:36:10	0	0
14/03/2022	02:36:23	0	0
14/03/2022	02:36:36	0	0
14/03/2022	02:36:48	0	0
14/03/2022	02:37:01	0	0
14/03/2022	02:37:14	0	0
14/03/2022	02:37:27	0	0
14/03/2022	02:37:40	0	0
14/03/2022	02:37:53	0	0
14/03/2022	02:38:06	0	0
14/03/2022	02:38:19	0	0
14/03/2022	02:38:32	0	0
14/03/2022	02:38:45	0	0
14/03/2022	02:38:58	0	0
14/03/2022	02:39:11	0	0
14/03/2022	02:39:24	0	0
14/03/2022	02:39:37	0	0
14/03/2022	02:39:50	0	0
14/03/2022	02:40:03	0	0
14/03/2022	02:40:16	0	0
14/03/2022	02:40:29	0	0
14/03/2022	02:40:42	0	0
14/03/2022	02:40:55	0	0
14/03/2022	02:41:08	0	0
14/03/2022	02:41:21	0	0
14/03/2022	02:41:34	0	0
14/03/2022	02:41:47	0	0
14/03/2022	02:42:00	0	0
14/03/2022	02:42:12	0	0
14/03/2022	02:42:25	0	0
14/03/2022	02:42:38	0	0
14/03/2022	02:42:51	0	0
14/03/2022	02:43:04	0	0
14/03/2022	02:43:17	0	0
14/03/2022	02:43:30	0	0
14/03/2022	02:43:43	0	0
14/03/2022	02:43:56	0	0
14/03/2022	02:44:09	0	0
14/03/2022	02:44:22	0	0
14/03/2022	02:44:35	0	0
14/03/2022	02:44:48	0	0
14/03/2022	02:45:01	0	0
14/03/2022	02:45:14	0	0
14/03/2022	02:45:27	0	0
14/03/2022	02:45:40	0	0
14/03/2022	02:45:53	0	0
14/03/2022	02:46:06	0	0
14/03/2022	02:46:19	0	0
14/03/2022	02:46:32	0	0
14/03/2022	02:46:45	0	0
14/03/2022	02:46:58	0	0
14/03/2022	02:47:11	0	0
14/03/2022	02:47:24	0	0
14/03/2022	02:47:36	0	0
14/03/2022	02:47:49	0	0
14/03/2022	02:48:02	0	0
14/03/2022	02:48:15	0	0
14/03/2022	02:48:28	0	0
14/03/2022	02:48:41	0	0
14/03/2022	02:48:54	0	0
14/03/2022	02:49:07	0	0
14/03/2022	02:49:20	0	0
14/03/2022	02:49:33	0	0
14/03/2022	02:49:46	0	0
14/03/2022	02:49:59	0	0
14/03/2022	02:50:12	0	0
14/03/2022	02:50:25	0	0
14/03/2022	02:50:38	0	0
14/03/2022	02:50:51	0	0
14/03/2022	02:51:04	0	0
14/03/2022	02:51:17	0	0
14/03/2022	02:51:30	0	0
14/03/2022	02:51:43	0	0
14/03/2022	02:51:56	0	0
14/03/2022	02:52:09	0	0
14/03/2022	02:52:22	0	0
14/03/2022	02:52:35	0	0
14/03/2022	02:52:48	0	0
14/03/2022	02:53:00	0	0
14/03/2022	02:53:13	0	0
14/03/2022	02:53:26	0	0
14/03/2022	02:53:39	0	0
14/03/2022	02:53:52	0	0
14/03/2022	02:54:05	0	0
14/03/2022	02:54:18	0	0
14/03/2022	02:54:31	0	0
14/03/2022	02:54:44	0	0
14/03/2022	02:54:57	0	0
14/03/2022	02:55:10	0	0
14/03/2022	02:55:23	0	0
14/03/2022	02:55:36	0	0
14/03/2022	02:55:49	0	0
14/03/2022	02:56:02	0	0
14/03/2022	02:56:15	0	0
14/03/2022	02:56:28	0	0
14/03/2022	02:56:41	0	0
14/03/2022	02:56:54	0	0
